################################# GMF factor8 ####################################
python GMF.py --dataset ml-1m --epochs 50 --batch_size 256 --num_factors 8 --regs [0,0] --num_neg 4 --lr 0.001 --learner Adam --verbose 1 --out 1
Init: HR = 0.1041, NDCG = 0.0463         [4.0 s]
Iteration 0 [25.4 s]: HR = 0.4856, NDCG = 0.2744, loss = 0.3660 [1.2 s]
Iteration 1 [14.9 s]: HR = 0.5685, NDCG = 0.3184, loss = 0.3069 [1.2 s]
Iteration 2 [15.5 s]: HR = 0.5887, NDCG = 0.3306, loss = 0.2929 [1.3 s]
Iteration 3 [14.7 s]: HR = 0.5997, NDCG = 0.3404, loss = 0.2850 [1.2 s]
Iteration 4 [14.9 s]: HR = 0.6111, NDCG = 0.3477, loss = 0.2794 [1.3 s]
Iteration 5 [14.8 s]: HR = 0.6225, NDCG = 0.3506, loss = 0.2762 [1.3 s]
Iteration 6 [14.9 s]: HR = 0.6233, NDCG = 0.3558, loss = 0.2748 [1.2 s]
Iteration 7 [14.6 s]: HR = 0.6199, NDCG = 0.3551, loss = 0.2738 [1.2 s]
Iteration 8 [14.9 s]: HR = 0.6248, NDCG = 0.3583, loss = 0.2731 [1.3 s]
Iteration 9 [15.0 s]: HR = 0.6252, NDCG = 0.3579, loss = 0.2724 [1.3 s]
Iteration 10 [14.9 s]: HR = 0.6285, NDCG = 0.3601, loss = 0.2719 [1.3 s]
Iteration 11 [14.8 s]: HR = 0.6288, NDCG = 0.3606, loss = 0.2714 [1.3 s]
Iteration 12 [14.8 s]: HR = 0.6328, NDCG = 0.3604, loss = 0.2709 [1.3 s]
Iteration 13 [14.9 s]: HR = 0.6311, NDCG = 0.3639, loss = 0.2704 [1.3 s]
Iteration 14 [14.9 s]: HR = 0.6334, NDCG = 0.3631, loss = 0.2697 [1.3 s]
Iteration 15 [14.9 s]: HR = 0.6344, NDCG = 0.3611, loss = 0.2695 [1.2 s]
Iteration 16 [14.8 s]: HR = 0.6316, NDCG = 0.3606, loss = 0.2692 [1.3 s]
Iteration 17 [15.0 s]: HR = 0.6328, NDCG = 0.3634, loss = 0.2688 [1.3 s]
Iteration 18 [14.7 s]: HR = 0.6353, NDCG = 0.3647, loss = 0.2684 [1.2 s]
Iteration 19 [15.0 s]: HR = 0.6368, NDCG = 0.3643, loss = 0.2681 [1.3 s]
Iteration 20 [14.8 s]: HR = 0.6366, NDCG = 0.3651, loss = 0.2679 [1.3 s]
Iteration 21 [14.9 s]: HR = 0.6363, NDCG = 0.3654, loss = 0.2676 [1.3 s]
Iteration 22 [14.6 s]: HR = 0.6376, NDCG = 0.3650, loss = 0.2677 [1.2 s]
Iteration 23 [14.6 s]: HR = 0.6373, NDCG = 0.3649, loss = 0.2673 [1.3 s]
Iteration 24 [14.9 s]: HR = 0.6387, NDCG = 0.3673, loss = 0.2671 [1.3 s]
Iteration 25 [14.8 s]: HR = 0.6344, NDCG = 0.3656, loss = 0.2670 [1.3 s]
Iteration 26 [14.8 s]: HR = 0.6363, NDCG = 0.3672, loss = 0.2669 [1.3 s]
Iteration 27 [14.9 s]: HR = 0.6368, NDCG = 0.3654, loss = 0.2668 [1.2 s]
Iteration 28 [14.9 s]: HR = 0.6364, NDCG = 0.3661, loss = 0.2665 [1.2 s]
Iteration 29 [14.8 s]: HR = 0.6397, NDCG = 0.3685, loss = 0.2666 [1.2 s]
Iteration 30 [14.8 s]: HR = 0.6384, NDCG = 0.3667, loss = 0.2663 [1.2 s]
Iteration 31 [14.8 s]: HR = 0.6329, NDCG = 0.3664, loss = 0.2662 [1.2 s]
Iteration 32 [15.0 s]: HR = 0.6361, NDCG = 0.3675, loss = 0.2663 [1.3 s]
Iteration 33 [14.7 s]: HR = 0.6376, NDCG = 0.3687, loss = 0.2663 [1.2 s]
Iteration 34 [14.7 s]: HR = 0.6349, NDCG = 0.3656, loss = 0.2659 [1.2 s]
Iteration 35 [14.9 s]: HR = 0.6353, NDCG = 0.3665, loss = 0.2661 [1.3 s]
Iteration 36 [14.8 s]: HR = 0.6361, NDCG = 0.3664, loss = 0.2662 [1.2 s]
Iteration 37 [14.6 s]: HR = 0.6364, NDCG = 0.3662, loss = 0.2659 [1.3 s]
Iteration 38 [14.7 s]: HR = 0.6334, NDCG = 0.3675, loss = 0.2658 [1.3 s]
Iteration 39 [14.8 s]: HR = 0.6346, NDCG = 0.3669, loss = 0.2659 [1.3 s]
Iteration 40 [14.7 s]: HR = 0.6396, NDCG = 0.3682, loss = 0.2658 [1.2 s]
Iteration 41 [14.6 s]: HR = 0.6369, NDCG = 0.3687, loss = 0.2657 [1.2 s]
Iteration 42 [14.7 s]: HR = 0.6328, NDCG = 0.3669, loss = 0.2658 [1.3 s]
Iteration 43 [14.9 s]: HR = 0.6334, NDCG = 0.3673, loss = 0.2658 [1.3 s]
Iteration 44 [14.6 s]: HR = 0.6373, NDCG = 0.3686, loss = 0.2657 [1.2 s]
Iteration 45 [14.6 s]: HR = 0.6374, NDCG = 0.3688, loss = 0.2654 [1.2 s]
Iteration 46 [15.0 s]: HR = 0.6384, NDCG = 0.3701, loss = 0.2653 [1.3 s]
